"","Party","2014 ","2012 ","2010 "
"1","Afghanistan","No budget advisor and special trained people in this aspect","We are in the process of elaborating a national law on tobacco control.","Answer/report not provided"
"2","Albania","On 12.03.2013 the Law “On health protection from tobacco products” has made same amendments modifications. Some of the most important modifications on the law 
; Its improved the definition of public place in the legislation also the definition of workplace also warning messages about the health now are in figures or illustration that shows damages that came from smoking.","Answer/report not provided","Answer/report not provided"
"3","Algeria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"4","Antigua and Barbuda","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"5","Armenia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"6","Australia","Answer/report not provided","Answer/report not provided","Each State and Territory and Commonwealth jursidiction has its own tobacco control unit within the State Health Department."
"7","Austria","The Austrian Tobacco Act (“Tabakgesetz” Federal law gazette No. 450/1994 in its applicable version) was issued in 1995 and amended several times:
The 2004 amendment brought Austrian tobacco law in line with the European Strategy for Tobacco Control and the WHO FCTC. A general smoking ban in rooms of public places like offices shopping malls theatres means of transport etc. as well as an absolute ban in schools and other facilities where young people are accommodated supervised or educated were introduced. Also a comprehensive ban on tobacco advertising and sponsorship was stipulated. 
Furthermore as of 1/1/2009 major amendments to the Austrian tobacco act entered into force including smoking restrictions (with exemptions) also for hospitality venues. After a transitional period lasting until 30/6/2010 at least 50% of the places of all hospitality venues with the exemption of 1-room-premises with a surface of under 50m² (in certain cases up to 80m² if a division into 2 rooms is forbidden by legal provisions) must be smokefree. If hospitality venues provide more than 1 room for serving guests the main room is in any case covered by a smoking ban. Smoking and non-smoking areas cannot be in one room but only in detached rooms that can be closed with a door. Furthermore hospitality venues have to be marked as smoking/non-smoking or mixed premises at the entrance and also inside. Fines for violations of the smoking bans were introduced for the tenants of the premises (public rooms as well as hospitality venues) as well as smokers.
Furthermore various measures have been and still are undertaken in Austria to reduce tobacco consumption and prevent especially young people to start smoking. On the national level there are series of public awareness media campaigns especially targeted at school children and parents were run (for example: ''Nichtrauchen lohnt sich'' (2010) ''echt cool'' (2011); also on the provincial level there are many campaigns available: f.ex. “Free your mind” (project on smoking prevention for school children in Lower Austria 2013) “PLUS” (national prevention programme for children with focus on legal drugs/tobacco 2013). In November 2014 a special conference focussing on tobacco will take place.","Answer/report not provided","Answer/report not provided"
"8","Azerbaijan","“National NCD Strategy and Operational Plan 2013-2020” including measures on tobacco control developed. 
2011-2015 Action Plan of the State Program on ''Poverty Reduction and Sustainable Development in the Republic of Azerbaijan for 2008-2015'' and State Program “Azerbaijani youth in 2011-2015” with aspects of tobacco control are now implemented","A National Tobacco Control Coalition was established on December 14 2009 on the First National Tobacco Conference. Based on the WHO FCTC and the Constitution of the Azerbaijan Republic the conference participants from governments international and local NGOs formed a Coalition. The main objective of the formation Coalition is achieving the unification of the efforts of the governmental non-governmental international organizations individual citizens and Azerbaijani society as a whole in the fight against tobacco and organizing of public support for carrying out the practical measures by public authorities in this area.","A National Tobacco Control Coalition was established on December 14 2009 on the First National Tobacco Conference. Based on the WHO FCTC and the Constitution of the Azerbaijan Republic the conference participants from governments international and local NGOs formed a Coalition. The main objective of the formation Coalition is achieving the unification of the efforts of the governmental non-governmental international organizations individual citizens and Azerbaijani society as a whole in the fight against tobacco and organizing of public support for carrying out the practical measures by public authorities in this area."
"9","Bahamas","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","Answer/report not provided","Answer/report not provided","Answer/report not provided"
