"","Party","2014 ","2012 ","2010 "
"1","Afghanistan","Answer/report not provided","tobacco control legislation is under process in Ministry of Justice","Answer/report not provided"
"2","Albania","Article 15 of the Law “For the protection of health from tobacco products” ban smoking in “Workplaces health institutions excluding institutions of mental health (only for patients) educational institutions public transport business areas bars restaurants disco night clubs and other public places”. So our law is in accordance with the convention and creates free tobacco environments. This article is not yet applied. State Sanitary Inspectorate has been not effective. When the task force nr.2 operated in Tirana the implementation of the law has been 78% effective and also in high level (60%) on national level but this situation was only when the task force operated in Albania. Task force nr 2 started on 02.08.2012 (order 362) and stopped on 22.10.2012 (order no 530). 
On 12.03.2013 the law “On health protection from tobacco products” has made same amendments modifications. Some of the most important modifications on the law 
; Its improved the definition of public place also the definition of workplace.
This article is not yet applied.","In 2011 the Ministry of Health made a change in the Law for a new collection of fines by creating a standard model.
Financial penalties are settled at the State Sanitary Inspectorate and their value flows to the state budget (nr.10279 law dated 20.05.2010 On Administrative Offences as amended).
In accordance with the law nr.10279 dated 20.05.2010 On Administrative Offences (changed) when the fine is not paid within the specified time (the first month of the date of receipt of the decision-final penalty) it is expected another month (the second) but for every day of delay (in the second month) the penalty increases to 2 percent of the value up to 30 days (Article 34 of Law 7643 dt.02.12.1992 the amended).
After this deadline the law enforcement nr.10279 dated 20.05.2010 On Administrative Offences (as amended) the State Sanitary Inspectorate is legally obliged to send the penalty decision in the Court of First Instance to be transformed into an executable order and and as an executable the bail is sent for execution.
What has the Ministry of Health done for the above?
In the Nr.10279 Law enforcement has emerged the Guide On the practice of unified administrative offenses punishable by fine .As a results of Minister of Health on 12 August 2011 a taks force was set up for the implementation of the law (for the control of the smoking ban in public places). The order was valid for 6 months which contributed to the creation of a model on how the state inspectorate should work for the implementation of this law. There were put 230 fines and all these fines are being collected which was not the case before. The taks force was succesful in its mission.","Answer/report not provided"
"3","Algeria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"4","Antigua and Barbuda","Antigua & Barbuda has issued a Cabinet Decision which bans tobacco smoking in ALL Government Institutions including vehicles and premises. In addition draft legislation is being prepared guided by the FCTC.","Antigua & Barbuda has issued a Cabinet Decision which bans tobacco smoking in ALL Government Institutions including vehicles and premises. In addition draft legislation has been prepared guided by the FCTC.","Answer/report not provided"
"5","Armenia","Answer/report not provided","Answer/report not provided","In 2009 the Parliament of Armenia adopted a package of legislative changes stipulating financial sanctions against individuals and organization violating the restrictions on smoking in public places."
"6","Australia","The states and territory governments have lead responsibility for smoking restrictions to prevent second-hand smoking in Australia. Smoking is now banned in all indoor public places and transport and most jurisdictions have begun to extend bans on smoking to some outdoor public places. Please see Annex 1 for further information and Annex 2 for links to the relevant state and territory legislation.","States and Territories have lead responsibility for smoking restrictions to prevent second-hand or passive smoking in Australia. Smoking is now banned in all indoor public places and transport and most jurisdictions have begun to extend bans on smoking to some outdoor public places. Please see Annex 1 for further information and Annex 2 for links to the relevant State and Territory legislation.","Progress varies between sub-jurisdictions. See sub-jurisdictional input at Attachment A."
"7","Austria","Concerning the protection from exposure to tobacco smoke the judiciary of the Austrian supreme courts is getting more and more strict.
In 2012 sanctions for violations of the smoking restrictions in indoor workplaces were raised according to Para. 130 Sect. 1 Z 15 of the Austrian law on health and safety at work act (Arbeitnehmerschutzgesetz); for details see 3.2.2.10.","Amendments of national tobacco Act entered into force as of 1/1/2009 - since that date hospitality venues are covered by a smoking restrictions. Sanctions for violations of the smoking bans/restrictions in public indoor places including hospitality venues were introduced (fines up to € 2.000 - for first violation by tenant up to € 10.000 - for repeated/ongoing violations; fines up to € 100 - for first violation by smokers/up to € 1.000 - for second violation).","Answer/report not provided"
"8","Azerbaijan","Answer/report not provided","The draft Law on Banning of Smoking in Public Places has been developed.","The draft Law on Banning of Smoking in Public Places has been developed."
"9","Bahamas","Draft Tobacco Control Bill 2014 which is being discussed among Cabinet Members for official tabling and passage contains provisions for all operational portions of the WHO FCTC (except taxation as this is already covered in the Tobacco Excise Stamp Tax Act 2013)","Draft legislation produced in the Ministry of Finance in consultation with international experts. Drafts forwarded to Attorney Generals office for review","Answer/report not provided"
"10","Bahrain (Kingdom of)","Work in the campaign which was launched to monitor the implementation of smoking ban in public places continued by Public Health Directorate in Ministry of Health. In addition we are still working closely to assisst those willing to allocate a designated smoking area to ensure it is compliant with health specifications of smoking areas.","increasing the coverage and strict monitering and where several offenses were issued","Answer/report not provided"
