"","Party","2014 ","2012 ","2010 "
"1","Afghanistan","import tax GST","import tax GST","Answer/report not provided"
"2","Albania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"3","Algeria","Answer/report not provided","taxe interieur de comsommation (TIC) TVA taxe additionelle (TAdd)","Answer/report not provided"
"4","Antigua and Barbuda","More complex structure (please explain:  )","Answer/report not provided","Answer/report not provided"
"5","Armenia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"6","Australia","More complex structure (please explain:  )","Answer/report not provided","Excise rates are subject to increases in February & August of each year when there are upwards movements in the Consumer Price Index in accordance with section 6A of the Excise Tariff Act 1921."
"7","Austria","Austria currently applies a regime of combined taxation consisting of a specific base value plus an ad valorem tax for cigarettes. The percentage of the ad valorem tax for cigarettes is 42% of the retail price and € 35 per 1000 pieces.
For cigars and cigarillos an ad valorem tax of 13% of the retail selling price applies; if the calculated tax however falls und der minimum base of € 40 per 1000 pieces the specific tax rate of € 40 per 1000 pieces applies.
For fine cut tobacco the same principle as for cigars and cigarillos applies but the ad valorem tax rate is of 54% and the respective minimum specific tax rate of € 60 per kg. 
For all other smoking tobacco an ad valorem tax of 34% applies.Furthermore a value added tax of 20% applies on all tobacco products","Austria currently applies a regime of a combined taxation consisting of a specific basevalue plus an ad valorem tax for cigarettes. The percentage of the ad valorem tax for cigarettes is 42 % of the retail price and € 35 per 1000 pieces. 
For cigars and cigarillos an ad valorem tax of 13 % of the retail selling price applies; if the calculated tax however falls under the minimum base of € 40 per 1000 pieces the specific tax rate of € 40 per 1000 pieces applies. 
For fine cut-tobacco the same principle as for cigars and cigarillos applies but the ad valorem tax rate is of 54 % and the respective minimum specific tax rate of € 60 per kilogramm. 
For all other smoking tobacco an ad valorem tax of 34 % applies.
Furthermore a value added tax of 20% applies on all tobacco products.","Answer/report not provided"
"8","Azerbaijan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"9","Bahamas","Import Duties and Excise Stamp Tax","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"11","Bangladesh","More complex structure (please explain:  )","Answer/report not provided","value added tax (VAT) and supplementary duty (SD) are collected on the basis of maximum retail price. Higher priced tobacco products entail a higher SD rate. VAT is 15% for all price categories of tobacco products."
"12","Barbados","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"13","Belarus","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"14","Belgium","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"15","Belize","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"16","Benin","Prélèvement Communautaire de Solidarité (PCS) Prélèvement communautaire (PC) Redevance statistique Droit de Douane (DD) Taxe sur la Valeur Ajoutée (TVA) Droit dAccises (DA) Ecotaxe (ECT) Acompte dImpôt sur le Bénéfice (AIB) )","Prélèvement Communautaire de Solidarité (PCS) Prélèvement communautaire (PC) Redevance statistique Droit de Douane (DD) Taxe sur la Valeur Ajoutée (TVA) Droit dAccises (DA) Ecotaxe (ECT) Acompte dImpôt sur le Bénéfice (AIB)","Prélèvement Communautaire de Solidarité (PCS) Prélèvement communautaire (PC) Redevance statistique Droit de Douane (DD) Taxe sur la Valeur Ajoutée (TVA) Droit dAccises (DA) Ecotaxe (ECT) Acompte dImpôt sur le Bénéfice (AIB)"
"17","Bhutan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"18","Bolivia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"19","Bosnia and Herzegovina","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"20","Botswana","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"21","Brazil","More complex structure (please explain:  )","Answer/report not provided","Answer/report not provided"
"22","Brunei Darussalam","kilogram","Answer/report not provided","Answer/report not provided"
"23","Bulgaria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"24","Burkina Faso","Association des taxe ad valorem TVA le droit de douanes les prélèvements communautaires CEDEAO et UEMOA des frais de statistiques  )","Answer/report not provided","Answer/report not provided"
"25","Burundi","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"26","Cambodia","More complex structure (please explain: )","There are currently four taxes on tobacco products in Cambodia: (1) an excise tax of 10% levied on all types of cigarettes (2) a VAT of 10% levied on domestic and imported cigarettes (3) a public lighting tax (PLT) and (4) an import duty imposed on imported cigarettes. The public lighting tax is used to support public lighting in cities and is imposed on alcohol soft drinks and cigarettes; this amounts to 3% tax imposed on cigarette manufacturers. Import duties vary: 7% for cigarettes 15% for raw material such as tobacco leaves and 35% for cigars. In addition Cambodia also has three customs tariff categories which include Customs Duty (four tariff bands) Special Tax (nine tariff bands) and VAT (one tariff band).","Answer/report not provided"
"27","Cameroon","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"28","Canada","More complex structure (please explain: Please see information provided under section 2.8.7. including information on Canada''s Goods and Services Tax (GST) and Harmonized Sales Tax (HST)  )","Provincial/Territorial Tobacco tax GST or equivalent at federal and provincial area and Provincial/Territorial retail tax. Please see information provided under section 2.8.7","Please see information provided under section 2.8.7)"
"29","Central African Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"30","Chad","Answer/report not provided","TVA","Answer/report not provided"
"31","Chile","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"32","China","More complex structure (please explain: Pursuant to the Circular of the Ministry of Finance and the State Administration of Taxation on Adjusting the Consumption Tax on Tobacco Goods the consumption tax rate for ad valorem tax of cigarettes and cigars at production (including import) stage was adjusted. 1. Cigarettes of category A whose ex factory price (excluding VAT) is equal or more than RMB70 for each standard carton (200 sticks of cigarettes the same below) is adjusted as 56%. 2. Cigarettes of category B whose ex factory price (excluding VAT) is below RMB70 for each standard carton is adjusted at 36%. The specific tax rate for cigarettes remains unchanged i.e. RMB0.003 per cigarette. 3. The tax rate for cigars at production stage is adjusted as 36%. Ad valorem tax with the rate of 5% is surcharged for cigarettes at wholesale stage. )","Pursuant to the Circular of the Ministry of Finance and the State Administration of Taxation on Adjusting the Consumption Tax on Tobacco Goods the consumption tax rate for ad valorem tax of cigarettes and cigars at production (including import) stage was adjusted as of May 1 2009. 1. Cigarettes of category A whose ex factory price (excluding VAT) is equal or more than RMB70 for each standard carton (200 sticks of cigarettes the same below) is adjusted as 56%. 2. Cigarettes of category B whose ex factory price (excluding VAT) is below RMB70 for each standard carton is adjusted at 36%. The specific tax rate for cigarettes remains unchanged i.e. RMB0.003 per cigarette. 3. The tax rate for cigars at production stage is adjusted as 36%. Ad valorem tax with the rate of 5% is surcharged for cigarettes at wholesale stage.","Pursuant to the Circular of the Ministry of Finance and the State Administration of Taxation on Adjusting the Consumption Tax on Tobacco Goods the consumption tax rate for ad valorem tax of cigarettes and cigars at production (including import) stage was adjusted as of May 1 2009. 1. Cigarettes of category A whose ex factory price (excluding VAT) is equal or more than RMB70 for each standard carton (200 sticks of cigarettes the same below) is adjusted as 56%. 2. Cigarettes of category B whose ex factory price (excluding VAT) is below RMB70 for each standard carton is adjusted at 36%. The specific tax rate for cigarettes remains unchanged i.e. RMB0.003 per cigarette. 3. The tax rate for cigars at production stage is adjusted as 36%. Ad valorem tax with the rate of 5% is surcharged for cigarettes at wholesale stage."
"33","Colombia","Answer/report not provided","Impuesto al consumo de tabaco está conformado con dos componentes: 
- Específico (en pesos por cajetilla de 20 unidades o proporcional y actualizado anualmente en función del Índice de Precios al Consumidor).
- Ad valorem denominado sobretasa del 10% sobre un precio base de referencia. 
- Impuesto al valor agregado (IVA): 16% del precio base de referencia
Esta estructura está vigente desde julio de 2010","Answer/report not provided"
"34","Comoros","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"35","Congo","Answer/report not provided","TVA Taxe ad valorem taxe OHADA Taxe communautaire dintégration contibution communautaire dintégration rédevance information","Answer/report not provided"
"36","Cook Islands","Answer/report not provided","markup international costs transport and labour","markup international cost transport and labour"
"37","Costa Rica","More complex structure (please explain: es una combinación de: Impuesto General sobre las Ventas. Impuesto Selectivo de Consumo. Impuesto Instituto de Desarrollo Rural (INDER). a nivel de importación. INDER. a nivel de producción nacional )","Answer/report not provided","Answer/report not provided"
"38","Côte d'Ivoire","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"39","Croatia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"40","Cyprus","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"41","Czech Republic","The Czech Republic follows the EU legislation and for cigarettes applies a combination of specific and ad valorem tax and for other tobacco products applies specific tax only.","Answer/report not provided","Answer/report not provided"
"42","Democratic People's Republic of Korea","More complex structure (please explain:  )","Answer/report not provided","Answer/report not provided"
"43","Democratic Republic of the Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"44","Denmark","Answer/report not provided","Answer/report not provided","Combination of specific and ad valorem tax"
"45","Djibouti","More complex structure (please explain:  )","Answer/report not provided","Answer/report not provided"
"46","Ecuador","El cálculo de la proporción de impuestos se ha hecho sobre la base de $3.00 precio de venta de Líder 20 unidades (marca de mayor venta al público. con un impuesto al valor agregado - IVA de 12% sobre el precio final de venta y un impuesto a consumos especiales – ICE específico promedio de 0.0836 US$ por unidad de cigarrillo","Answer/report not provided","Answer/report not provided"
"47","Egypt","More complex structure (please explain:            )","Answer/report not provided","Answer/report not provided"
"48","El Salvador","More complex structure (please explain:   en toda importación se cobra el DAI e IVA   )","Answer/report not provided","Answer/report not provided"
"49","Estonia","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"50","European Union","More complex structure (please explain: 
For cigarettes: obligatory combination of specific and ad valorem with an EU wide applicable minimum rate of 60% of the weighted average retail selling price (WAP) and 90 Euro per 1000 cigarettes. The WAP is calculated by reference to the total value of all cigarettes released for consumption based on the retail selling price including all taxes divided by the total quantity of cigarettes released for consumption. Since 2011 the WAP has been determined by 1 March at the latest of each year on the basis of data relating to all such releases for consumption made in the preceding calendar year.
Minimum levels of excise duty for fine-cut tobacco: Since 1 January 2013: 43% of the WAP or at least EUR 47 / kg. As from 1 January 2015: 46% of the WAP or at least EUR 54 / kg. As from 1 January 2018: 48% of the WAP or at least EUR 60 / kg. As from 1 January 2020: 50% of the WAP or at least EUR 60 / kg.
Minimum levels of excise duty for other smoking tobacco the current minimum rate is 20% of the TIRSP (tax included retail selling price) or 22 00 Euro per kg.
Minimum levels of excise duty for cigars and cigarillos the current minimum rate is 5% of the TIRSP or 12 00 Euro per 1000 items or per kg. )","For cigarettes: obligatory combination of specific and ad valorem with an EU wide applicable minimum rate of 57% of the weighted average retail selling price (WAP) and 64 Euro per 1000 cigarettes. The WAP is calculated by reference to the total value of all cigarettes released for consumption based on the retail selling price including all taxes divided by the total quantity of cigarettes released for consumption. From 2011 it will be determined by 1 March at the latest of each year on the basis of data relating to all such releases for consumption made in the preceding calendar year.","For cigarettes: obligatory combination of specific and ad valorem with an EU wide applicable minimum rate of 57% of the weighted average retail selling price (WAP) and 64 Euro per 1000 cigarettes. The WAP is calculated by reference to the total value of all cigarettes released for consumption based on the retail selling price including all taxes divided by the total quantity of cigarettes released for consumption. As from 2011 it will be determined by 1 March at the latest of each year on the basis of data relating to all such releases for consumption made in the preceding calendar year."
"51","Fiji","Answer/report not provided","VAT is also applied","Answer/report not provided"
"52","Finland","combination of specific and ad valorem taxes and minimum rates","Combination of specific and ad valorem taxes and minimum rates","Answer/report not provided"
"53","France","Structures plus complexes","Answer/report not provided","Answer/report not provided"
"54","Gabon","autres impôts ","Answer/report not provided","Answer/report not provided"
"55","Gambia","Answer/report not provided","in addition to excise tax we also apply environmental tax processing fee ecowas levy + sales tax","Answer/report not provided"
"56","Georgia","Answer/report not provided","excise plus 18% VAT is applicable","Answer/report not provided"
"57","Germany","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"58","Ghana","see additional types of taxes applied in table 2.8.3","Answer/report not provided","Answer/report not provided"
"59","Greece","More complex structure (please explain:   On all tobacco products apart from cigars a minimum excise tax is levied additionally.    )","on all tobacco products apart from cigars a minimum excise tax is levied additionally","Answer/report not provided"
"60","Grenada","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"61","Guatemala","More complex structure (please explain:  )","impuesto ad valorem y impuesto específico","Answer/report not provided"
"62","Guyana","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"63","Honduras","More complex structure (please explain:            )","Answer/report not provided","Answer/report not provided"
"64","Hungary","More complex structure (please explain: 
for cigarettes: quantitative tax. plus tax in proportion of price. or tax minimum and VAT;
for cigars/cigarillos: in proportion of price and VAT
for tobacco products: tax in proportion of price or tax minimum and VAT  )","oin case of cigarettes specific + ad valorem or minimum and VAT;
in case of cigars and cigarillos ad valorem and VAT;
in case of rolling tobacco and OTP ad valorem or minimum and VAT;","Minimum excise tax is applied in case of cigarette fine-cut smoking tobacco and other smoking tobacco."
"65","Iceland","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"66","India","More complex structure (please explain:   the specific duty is based on the length of cigarette and also varies depending whether it is filter or non filter.         )","Answer/report not provided","Combination of excise types"
"67","Iran (Islamic Republic of)","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"68","Iraq","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"69","Ireland","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"70","Israel","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"71","Italy","combination of specific and ad valorem taxes is only for cigarettes","combination of specific and ad valorem only for cigarettes; ad valorem for all other products","Answer/report not provided"
"72","Jamaica","The taxes and fees levied on cigarette are Import Duty (ID General Consumption Tax (GCT Special Consumption Tax (SCT Standard Compliance Fee (SCF Environmental Levy (ENVL and Customs Administration Fee (CAF. The ad Valorem taxes are levied on the Cost Insurance and Freight (CIF value of the commodity. The SCT is a specific tax and is therefore levied on the quantity or volume of imports in this case the number of sticks imported. GCT has a cascading effect. It is the last tax type computed. GCT is levied on the sum of the CIF value and the amount of all the aforementioned taxes.","Answer/report not provided","Answer/report not provided"
"73","Japan","see file?TAX?","see file?Tax?","see page 3 of Annex 1"
"74","Jordan","Answer/report not provided","General sales tax 16%; Sports and youth tax 10 dinars per carton (carton = 500 packets = 50 Cruz); Unified tax per carton 150 dinars; Special Tax (relative) 102%; Tax (relative) on the invoice of imported 150%","Annex No. (1) Example"
"75","Kazakhstan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"76","Kenya","Answer/report not provided","Answer/report not provided","for cigarettes specific excise is applied; for other smoking tobacco products: ad valorem excise is applied"
"77","Kiribati","VAT is also applied","Answer/report not provided","Answer/report not provided"
"78","Kuwait","More complex structure (please explain:  )","Answer/report not provided","Answer/report not provided"
"79","Kyrgyzstan","More complex structure (please explain:  )","VAT and sales tax","Answer/report not provided"
"80","Lao People's Democratic Republic","Answer/report not provided","excise tax; VAT; additional excise tax; profit tax","Answer/report not provided"
"81","Latvia","Specific tax Ad valorem tax and Minimum tax rate","Specific tax Ad valorem tax and Minimal tax rate","Answer/report not provided"
"82","Lebanon","More complex structure (please explain: Excise & VAT. (5% Customs tax + 108% Excise tax) * 10% VAT. This results in total tax component of 55% of retail price. )","Excise and VAT. (5% customs tax + 108% excise tax) x 10% VAT. This results in total tax component of 57% of retail price.","Excise & VAT. (5%Customs tax + 108%Excise tax) * 10% VAT. This results in total tax component of 57% of retail price."
"83","Lesotho","More complex structure (please explain:  )","VAT also applied","VAT also applied"
