"","Party","2014 ","2012 ","2010 "
"1","Afghanistan","No","No","Answer/report not provided"
"2","Albania","Yes","Yes","Answer/report not provided"
"3","Algeria","No","No","No"
"4","Antigua and Barbuda","No","No","Answer/report not provided"
"5","Armenia","Yes","Yes","Yes"
"6","Australia","No","No","No"
"7","Austria","No","No","Answer/report not provided"
"8","Azerbaijan","No","No","No"
"9","Bahamas","No","No","Answer/report not provided"
"10","Bahrain (Kingdom of)","No","No","Answer/report not provided"
"11","Bangladesh","No","No","No"
"12","Barbados","No","No","Answer/report not provided"
"13","Belarus","Yes","Yes","Yes"
"14","Belgium","No","No","No"
"15","Belize","No","Answer/report not provided","Answer/report not provided"
"16","Benin","No","No","No"
"17","Bhutan","Yes","No","No"
"18","Bolivia","Answer/report not provided","No","Answer/report not provided"
"19","Bosnia and Herzegovina","Yes","No","Answer/report not provided"
"20","Botswana","Answer/report not provided","Yes","Answer/report not provided"
"21","Brazil","No","Yes","Yes"
"22","Brunei Darussalam","No","No","Answer/report not provided"
"23","Bulgaria","Yes","Yes","Yes"
"24","Burkina Faso","Yes","No","Answer/report not provided"
"25","Burundi","Answer/report not provided","No","Answer/report not provided"
"26","Cambodia","No","No","No"
"27","Cameroon","No","Answer/report not provided","Answer/report not provided"
"28","Canada","Yes","Yes","Yes"
"29","Central African Republic","Answer/report not provided","No","Answer/report not provided"
"30","Chad","Answer/report not provided","Yes","Answer/report not provided"
"31","Chile","No","No","Answer/report not provided"
"32","China","Yes","Yes","Yes"
"33","Colombia","No","No","Answer/report not provided"
"34","Comoros","Answer/report not provided","Yes","No"
"35","Congo","No","No","Answer/report not provided"
"36","Cook Islands","No","Yes","Yes"
"37","Costa Rica","No","Yes","Answer/report not provided"
"38","Côte d'Ivoire","No","Yes","Answer/report not provided"
"39","Croatia","No","No","Answer/report not provided"
"40","Cyprus","No","No","No"
"41","Czech Republic","No","Answer/report not provided","Answer/report not provided"
"42","Democratic People's Republic of Korea","Answer/report not provided","No","Answer/report not provided"
"43","Democratic Republic of the Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"44","Denmark","No","No","No"
"45","Djibouti","No","No","Answer/report not provided"
"46","Ecuador","No","No","Answer/report not provided"
"47","Egypt","No","No","Yes"
"48","El Salvador","No","Answer/report not provided","Answer/report not provided"
"49","Estonia","No","No","Answer/report not provided"
"50","European Union","No","No","Answer/report not provided"
"51","Fiji","No","No","Answer/report not provided"
"52","Finland","No","No","No"
"53","France","No","No","No"
"54","Gabon","Yes","No","Answer/report not provided"
"55","Gambia","Yes","No","Answer/report not provided"
"56","Georgia","No","No","Answer/report not provided"
"57","Germany","Yes","Yes","No"
"58","Ghana","Yes","Yes","No"
"59","Greece","No","No","Answer/report not provided"
"60","Grenada","No","Answer/report not provided","Answer/report not provided"
"61","Guatemala","No","No","Answer/report not provided"
"62","Guyana","Answer/report not provided","Yes","Yes"
"63","Honduras","Yes","Yes","Yes"
"64","Hungary","No","No","No"
"65","Iceland","No","No","Answer/report not provided"
"66","India","No","No","No"
"67","Iran (Islamic Republic of)","No","No","Answer/report not provided"
"68","Iraq","Yes","No","Answer/report not provided"
"69","Ireland","No","No","No"
"70","Israel","Answer/report not provided","Yes","Answer/report not provided"
"71","Italy","No","No","Answer/report not provided"
"72","Jamaica","No","Answer/report not provided","Answer/report not provided"
"73","Japan","No","No","No"
"74","Jordan","Answer/report not provided","No","No"
"75","Kazakhstan","Yes","Yes","Answer/report not provided"
"76","Kenya","Yes","Answer/report not provided","Yes"
"77","Kiribati","No","Answer/report not provided","Answer/report not provided"
"78","Kuwait","No","No","No"
"79","Kyrgyzstan","No","Yes","Answer/report not provided"
"80","Lao People's Democratic Republic","No","Answer/report not provided","Answer/report not provided"
"81","Latvia","No","No","No"
"82","Lebanon","No","No","No"
"83","Lesotho","No","Yes","Yes"
"84","Libyan Arab Jamahiriya","No","No","Answer/report not provided"
"85","Lithuania","Yes","Yes","Yes"
"86","Luxembourg","Yes","No","Yes"
"87","Madagascar","No","No","No"
"88","Malaysia","No","No","No"
"89","Maldives","No","Answer/report not provided","Answer/report not provided"
"90","Mali","Yes","No","Answer/report not provided"
"91","Malta","No","No","No"
"92","Marshall Islands","No","Yes","Yes"
"93","Mauritania","No","No","Answer/report not provided"
"94","Mauritius","No","No","No"
"95","Mexico","Yes","Yes","Yes"
"96","Micronesia (Federated States of)","No","No","No"
"97","Mongolia","Yes","Yes","Yes"
"98","Montenegro","No","No","No"
"99","Myanmar","No","Answer/report not provided","Answer/report not provided"
"100","Namibia","Answer/report not provided","No","No"
"101","Nauru","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"102","Nepal","No","No","Answer/report not provided"
"103","Netherlands","No","No","No"
"104","New Zealand","No","No","No"
"105","Niger","Answer/report not provided","Yes","Answer/report not provided"
"106","Nigeria","No","Answer/report not provided","Answer/report not provided"
"107","Niue","No","Answer/report not provided","No"
"108","Norway","No","No","No"
"109","Oman","No","No","No"
"110","Pakistan","No","No","Answer/report not provided"
"111","Palau","No","Yes","Answer/report not provided"
"112","Panama","Yes","No","No"
"113","Papua New Guinea","No","Answer/report not provided","Answer/report not provided"
"114","Paraguay","No","No","Answer/report not provided"
"115","Peru","Yes","No","Answer/report not provided"
"116","Philippines","Yes","Yes","Answer/report not provided"
"117","Poland","No","Yes","Answer/report not provided"
"118","Portugal","No","No","No"
"119","Qatar","Yes","No","Answer/report not provided"
"120","Republic of Korea","No","No","No"
"121","Republic of Moldova","No","No","Answer/report not provided"
"122","Romania","No","Answer/report not provided","Answer/report not provided"
"123","Russian Federation","No","No","Answer/report not provided"
"124","Rwanda","Answer/report not provided","No","Answer/report not provided"
"125","Saint Kitts and Nevis","Answer/report not provided","No","Answer/report not provided"
"126","Saint Lucia","Answer/report not provided","Yes","Answer/report not provided"
"127","Saint Vincent and the Grenadines","Answer/report not provided","No","Answer/report not provided"
"128","Samoa","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"129","San Marino","Yes","Yes","Yes"
"130","Sao Tome and Principe","Yes","No","Answer/report not provided"
"131","Saudi Arabia","No","No","Answer/report not provided"
"132","Senegal","No","No","Answer/report not provided"
"133","Serbia","No","No","No"
"134","Seychelles","No","Yes","No"
"135","Sierra Leone","No","No","Answer/report not provided"
"136","Singapore","No","No","No"
"137","Slovakia","Yes","Yes","Yes"
"138","Slovenia","Yes","Yes","No"
"139","Solomon Islands","Yes","No","No"
"140","South Africa","No","No","No"
"141","Spain","Yes","No","Yes"
"142","Sri Lanka","Answer/report not provided","No","Answer/report not provided"
"143","Sudan","Answer/report not provided","Yes","Answer/report not provided"
"144","Suriname","Yes","Yes","Answer/report not provided"
"145","Swaziland","Answer/report not provided","Yes","Answer/report not provided"
"146","Sweden","No","No","No"
"147","Syrian Arab Republic","Answer/report not provided","Answer/report not provided","Yes"
"148","Tajikistan","Yes","Answer/report not provided","Answer/report not provided"
