"","Party","2014 ","2012 ","2010 "
"1","Afghanistan","The above mentioned law indicated that avoid production trade and encourage the farmers to cultivate alternative agricultural items instead prevention of environment","In 2010","Answer/report not provided"
"2","Albania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"3","Algeria","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"4","Antigua and Barbuda","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"5","Armenia","....","In 2010 Armenian Parliament adopted amendments for the RA Law On Fixed Payments for Tobacco Products. according to which the taxes for tobacco products especially cigarettes were increased since 2011.(See Annex 6).","In the end of 2008 Armenian Parliament adopted amendments for the RA Law On Fixed Payments for Tobacco Products. according to which the taxes for tobacco products especially cigarettes were raised. The Law took effect on January 30 2009. See supporting documents."
"6","Australia","In Australia. excise and excise equivalent customs duty apply to tobacco with an objective of reducing consumption. As outlined above in section 2.8. the first of a four staged. 12.5 per cent increase in excise and excise-equivalent customs duty on tobacco and tobacco-related products commenced on 1 December 2013. and further 12.5 per cent increases will occur on 1 September 2014. 1 September 2015 and 
1 September 2016. These increases are in addition to the change to bi-annual indexation of tobacco products (from Consumer Price Index to Average Weekly Ordinary Time Earnings). which took effect from 1 March 2014.
Further. Australia applies quantity restrictions to sales of tobacco products and imports of tobacco products by international travellers. In September 2012. a reduction in the duty free allowance for tobacco products from 250 cigarettes or 250g of cigars or tobacco products to 50 cigarettes or 50g of cigars or tobacco products per person was introduced for persons aged 18 years and over.","In Australia excise and excise equivalent customs duty apply to tobacco with an objective of reducing consumption. As outlined above in section 2.8 on 29 April 2010 the Australian Government increased the excise and excise equivalent customs duty rate applying to tobacco products by 25 per cent. This measure increased the average price of a pack of 30 cigarettes by approximately AUD $2.16.
Australia applies quantity restrictions to sales of tobacco products to and imports of tobacco products by international travellers. Persons aged 18 years or over are permitted to bring up to 250 cigarettes or 250 grams of cigars or tobacco products duty-free into Australia. All tobacco products in accompanied baggage are included in this category regardless of where or how they were purchased.","Answer/report not provided"
"7","Austria","Minimum retail selling prices for cigarettes and fine-cut tobacco were in force from May 2006 to May 2010 (in 2006: € 3 25 per pack/cigarettes in 2010 € 3 45 per pack/cigarettes).
Following a judgment of the European Court of Justice (C-198/08 from 4/3/2010) stating that such minimum retail selling prices are incompatible with the EU-law (EU-directive 95/59/EC) the minimum retail selling prices were cancelled.
On the one hand tobacco taxes increased in January 2011 July 2011 and January 2012.","Minimum retail selling prices for cigarettes and fine-cut tobacco were in force from May 2006 to May 2010 (in 2006 € 3 25 per pack/cigarettes in 2010 € 3 45 per pack/cigarettes). Following a judgment of the European Court of Justice (C-198/08 from 4/3/2010) stating that such minimum retail selling prices are incompatible with EU-law (EU-directive 95/59/EC) the minimum retail selling prices were cancelled. On the other hand tobacco taxes increased in January 2011 July 2011 and January 2012.","Answer/report not provided"
"8","Azerbaijan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"9","Bahamas","Passage of the Tobacco Excise Stamp Tax Act 2013 raising the taxation on tobacco products","Draft legislation produced in the Ministry of Finance in consultation with international experts. Drafts forwarded to Attorney Generals office for review","Answer/report not provided"
"10","Bahrain (Kingdom of)","Currently ad valorem tax is applied to tobacco products amounting to 100% of its price; however negotiation is underway to introduce sales customs.","started negotiation to increase the custom taxaes with forming a different type of taxes (local )in order to increase the prices of the tobacco products.","Answer/report not provided"
"11","Bangladesh","Answer/report not provided","Tobacco Tax Cell has been established at National Board of Revenue to support Ministry of Finance.","Answer/report not provided"
"12","Barbados","On two occasions the Government of Barbados increased taxes on the retail value of tobacco products. This was achieved by changing the excise tax on tobacco in 2008 and 20111/2012. On the first occasion taxes were increased by 100% while in 20111/2012 the increase was 25% of the import value.","Answer/report not provided","Answer/report not provided"
"13","Belarus","Increase in retail prices for tobacco products the growth rates of excise duties","President of the Republic of Belarus of 25.10.2011 ? 489 On establishing the rates of excise duties on certain goods and podaktsihnye recognition of the Decree of the President of the Republic of Belarus dated August 30 2011 N 378 Act of December 19 1991 ? 1319-XII Act of December 29 2009 N 72 W for the Implementation of Special part of the tax code of the Republic of Belarus amendments and additions to part a total tax code of the Repubic of Belarus and Abrogating legislation of the Republic of Belarus and certain provisions of the income tax.","increase in retail prices for tobacco products the growth rates of excise"
"14","Belgium","Le quota annuel pour les achats en franchise diplomatique est 0 à partir du 1er janvier 2014.","Answer/report not provided","Answer/report not provided"
