"","Party","2014","2012","2010"
"1","Afghanistan","Answer/report not provided","no progress","Answer/report not provided"
"2","Albania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"3","Algeria","4 Projets CNEPRU sur le tabagisme et la lutte anti- tabac :
Attitude des adolescents face à la consommation du tabac et des drogues : faculté de Constantine 
Evaluation de l’exposition au tabagisme passif : université d’Oran
Profil psychologique du fumeur : centre de Tamanrasset
Analyse économique des conséquences du tabagisme sur la santé des Algériens : cas de la commune de Bejaïa : université de Bejaia

4 Projets PNR sur le tabagisme et la lutte anti- tabac

Tabagisme dans la wilaya de Sétif : attitudes comportement et aide à l’arrêt du tabac : CHU Setif
Enquête de prévalence et des comportements vis-à-vis du tabac en milieu scolaire et universitaire
Approche préventive et curative du tabagisme : représentation attitudes et changements dattitude concernant le tabac 
Dépistage et Exploration des Epaississements Pleuraux chez des Travailleurs exposés à la Poussière de Tabac en Entreprise : CHU Bab El Oued","Answer/report not provided","Answer/report not provided"
"4","Antigua and Barbuda","This Article of the FCTC is embodied in our draft legislation of which we are currently awaiting legal processing","Answer/report not provided","Answer/report not provided"
"5","Armenia","Answer/report not provided","Answer/report not provided","Since signing the First report several tobacco related surveys have been conducted in Armenia. The new State program envisages development of this component and introduction of its regularity. The data of the survey can be found in electronical sources. As for the laws and regulations there is an official data base in Armenia containing all laws and regulations including tobacco control. It is open for publuic and in Armenian language.
www. laws.am"
"6","Australia","The Australian Government Department of Health is currently developing a regulation impact statement on options for further implementation of the WHO FCTC Partial Guidelines for Article 9 (relating to regulation of the contents of tobacco products) and Article 10 (relating to regulation of tobacco product disclosures). to reduce the harmful effects of tobacco use.
The Australian Government is also investing in training and support for persons engaged in tobacco control activities. as detailed at sections 3.2.6 and 3.2.8 above. 
The Australian Government invests in a number of information resources on its tobacco control measures. www.health.gov.au. www.tobaccoinaustralia.gov.au and www.quitnow.gov.au. 
All Commonwealth laws are available at: www.comlaw.gov.au. 
Relevant jurisprudence is available at Australian Court Registries and online (see the Australian High Court website at: http://www.hcourt.gov.au/ and the Federal Court of Australia website at: http://www.fedcourt.gov.au/searchjudgments.html).
The Australian Government actively exchanges information on tobacco control initiatives and developments at bilateral. regional and global levels.","The Australian Government Department of Health and Ageing is currently commissioning research in a number of areas to inform future consideration of further regulatory options. This includes:
-research on the scientific technical practical feasibility and public health value of regulating disclosure of tobacco product ingredients and emissions data;
-research on the role of flavours and masking agents in smoking initiation and uptake; 
-a broader study covering a range of options for further implementation of Articles 9 and 10; and
-research on options for further regulation of electronic nicotine delivery systems and smokeless tobacco products.
The Australian Government is also investing in training and support for persons engaged in tobacco control activities as detailed at sections 3.2.6 and 3.2.8 above. 
The Australian Government maintains a number of information resources on its tobacco control measures including www.health.gov.au and www.yourhealth.gov.au. All Commonwealth laws are available at www.comlaw.gov.au. Relevant jurisprudence is available at Australian Court Registries and online (see the Australian High Court website at http://www.hcourt.gov.au/ and the Federal Court of Australia website at http://www.fedcourt.gov.au/searchjudgments.html).
The Australian Government actively exchanges information on tobacco control initiatives and developments at bilateral regional and global levels.","Nil"
"7","Austria","Minimal data set (information on the persons who receive smoking counselling and cessation from the social security institutions) meetings with national and international experts in the tobacco cessation and counselling.","Answer/report not provided","Answer/report not provided"
"8","Azerbaijan","Answer/report not provided","The following surveys were performed in the past 10 years:
Demographic and Health Survey Azerbaijan 2006
Multiple Indicator Cluster Survey (MICS) Azerbaijan 2000
Knowledge Attitude and Practice (KAP) Azerbaijan 2007
Situational Analysis on Noncommunicable Diseases (NCD) Azerbaijan 2009","The following surveys were performed in the past 10 years:
Demographic and Health Survey Azerbaijan 2006
Multiple Indicator Cluster Survey (MICS) Azerbaijan 2000
Knowledge Attitude and Practice (KAP) Azerbaijan 2007
Situational Analysis on Noncommunicable Diseases (NCD) Azerbaijan 2009"
"9","Bahamas","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"10","Bahrain (Kingdom of)","Non communicable diseases and risk factors survey including smoking was repeated in 2013 in a more comprehensive form (Global health survey) We are still awaiting results.","Answer/report not provided","Answer/report not provided"
"11","Bangladesh","Answer/report not provided","Answer/report not provided","Bangladesh implemented the Global Youth Tobacco Survey (GYTS) in 2005 and the Global Adult Tobacco Survey (GATS) in 2008. An analysis of the health and economic impacts of tobacco use has been performed in 2004."
"12","Barbados","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"13","Belarus","Data exchange sociological studies on the prevalence of tobacco smoking on the impact of tobacco on the body of legislation in the field of tobacco control banning smoking in public places","Exchange of data of sociological studies on the prevalence of smoking the impact of tobacco on the body of legislation in the field of tobacco control banning smoking in public places","Exchange data of sociological studies on the prevalence of smoking the impact of tobacco on the body of legislation in the field of tobacco control banning smoking in public places"
"14","Belgium","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"15","Belize","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"16","Benin","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"17","Bhutan","Bhutan has participated in Global Tobacco Control Report IV in 2013. Bhutan has submitted its 3rd Implementation Report to WHO FCTC","Answer/report not provided","? Participation and exchange of information for MPOWER report GTCR  II & GTCR III.
? Financial support from IDRC Canada and technical support from ITC  University of Waterloo to carryout evaluation on ban on sale of tobacco  products in Bhutan.
? Financial and technical assistance from WHO & CDC for carrying out  GYTS 2006 GYTS 2009 & GSPS 2009.
? Sharing of information on anti-tobacco media campaigns tobacco   advertisement advertisement & sponsorship with international NGOs."
