"","Party","2014","2012","2010"
"1","Afghanistan","Answer/report not provided","2004; GYTS
Study of Smoking Prevalence among Men in Kabul City; June 2011","Answer/report not provided"
"2","Albania","Albania Demographic and Health Survey 2009 
Albania Demographic and Health Survey 2005 
Albania Reproductive Health Survey 2002 
Assessment and valuation of smoking prevalence among adult population 2000 
GYTS 2004 and 2009 
GHPSS 2005 and 2010","Albania Demographic and Health Survey 2009
Albania Demographic and Health Survey 2005
Albania Reproductive Health Survey 2002
Assessment and valuation of smoking prevalence among adult population 2000
GYTS 2004 and 2009
GHPSS 2005 and 2010","Answer/report not provided"
"3","Algeria","Answer/report not provided","Les enquêtes mises en œuvre dans les dernières années sont comme suit:
Pour les adultes:
2002-2003; Family Health Survey (PAPFAM)
2005: OMS STEPS
2010: GATS
Pour les jeunes:
2007: GYTS
2010: Global School Health Survey","Answer/report not provided"
"4","Antigua and Barbuda","Answer/report not provided","Antigua & Barbuda plans to participate in any global tobacco surveillance exercise (GYTS GSPS…)","Answer/report not provided"
"5","Armenia","Global Youth Tobacco Survey 2003 and 2009 
Health Behaviour School Children 2011
Global School Personal Survey 2009
Global Health Professional Student Survey 2006 and 2010
Tobacco Prevalence Survey 2004-2005
Health System Performance Assessment (with the tobacco fragment) 2007 and 2009 and 2012","Global Youth Tobacco Survey 2003 and 2009 (planning 2012-2013)
Health Behavior School Children 2011
Global School Personal Survey 2009
Global Health Professional Student Survey 2006 and 2010
Tobacco Prevalance Survey 2004-2005
Health System Performance Assessment (with the tobacco fragment) 2007 and 2009 and 2012 (in the process of fieldwork)","Answer/report not provided"
"6","Australia","Australian Government. Australian Institute of Health and Welfare. 2010 National Drug Strategy Household Survey report (July 2011). available online at: http://www.aihw.gov.au/publication-detail/?id=32212254712.
White V and Smith G. Australian secondary school students'' use of tobacco. alcohol. and over-the-counter and illicit substances in 20011 (December 2012) (Report prepared for Drug Strategy Branch. Australian Government Department of Health and Ageing). available online at: http://www.nationaldrugstrategy.gov.au/internet/drugstrategy/publishing.nsf/Content/2C4E3D846787E47BCA2577E600173CBE/$File/school08.pdf. 
Australian Bureau of Statistics. Australian Health Survey 2011-13. comprising of: 
National Aboriginal and Torres Strait Islander Social Survey (2011-2012). available online at: http://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/4714.0Main%20Features72008?opendocument&tabname=Summary&prodno=4714.0&issue=2008&num=&view=#PARALINK2.
Australian Health Survey 2011-2012. available online at: http://www.abs.gov.au/AUSSTATS/abs@.nsf/second+level+view?ReadForm&prodno=4364.0&viewtitle=National%20Health%20Survey:%20Summary%20of%20Results~1995~Previous~28/08/1997&&tabname=Past%20Future%20Issues&prodno=4364.0&issue=1995&num=&view=&. 
Biomedical Results for Chronic Diseases. 2011-12. available online at: http://www.abs.gov.au/ausstats/abs@.nsf/Lookup/4364.0.55.005Chapter6002011-12","Australian Government Australian Institute of Health and Welfare 2010 National Drug Strategy Household Survey report (July 2011) available online at http://www.aihw.gov.au/publication-detail/?id=32212254712.
White V and Smith G Australian secondary school students use of tobacco alcohol and over-the-counter and illicit substances in 2008 (September 2009) (Report prepared for Drug Strategy Branch Australian Government Department of Health and Ageing) available online at http://www.nationaldrugstrategy.gov.au/internet/drugstrategy/publishing.nsf/Content/2C4E3D846787E47BCA2577E600173CBE/$File/school08.pdf. 
Australian Bureau of Statistics National Aboriginal and Torres Strait Islander Social Survey (2008) available online at http://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/4714.0Main%20Features72008?opendocument&tabname=Summary&prodno=4714.0&issue=2008&num=&view=#PARALINK2.
Australian Bureau of Statistics National Health Survey 2007-2008 available online at http://www.abs.gov.au/AUSSTATS/abs@.nsf/second+level+view?ReadForm&prodno=4364.0&viewtitle=National%20Health%20Survey:%20Summary%20of%20Results~1995~Previous~28/08/1997&&tabname=Past%20Future%20Issues&prodno=4364.0&issue=1995&num=&view=&.","Answer/report not provided"
"7","Austria","General population survey (last survey was conducted in 2008 http://www.api.or.at/akis/download/gps2008band1.pdf
Health behaviour in school aged children 2010: http://bmg.gv.at/home/Schwerpunkte/Praevention/Schulgesundheit/WHO_Studie_Health_Behaviour_in_School_aged_Children_; 
European School Survey Project on Alcohol and Other Drugs - ''ESPAD'' (latest results published are from 2007) http://www.api.or.at/akis/download/espad%202007band1.pdf
Österreichischer Frauengesundheitsbericht 2010/11: http://bmg.gv.at/cms/home/attachments/0/1/3/CH1004/CMS1299496168458/frauengesundheitsbericht.pdf
national health survey (Österreichische Gesundheitsbefragung) 2006/07: http://www.bmg.gv.at/cms/home/attachments/1/1/8/CH1066/CMS1187768952223/oesterr_gesundheitsbefragung_2006_20071.pdf
WHO-Survey/Health behaviour in school aged children 2010: http://bmg.gv.at/cms/home/attachments/0/2/3/CH1105/CMS1327919019042/hbsc_schuelerbericht2010_barrierefrei1.pdf","General population survey (last survey was conducted in 2008 next will take place in 2012):
http://www.api.or.at/akis/download/gps2008band1.pdf
Health behaviour in school aged children:
http://bmg.gv.at/home/Schwerpunkte/Praevention/Schulgesundheit/WHO_Studie_Health_Behaviour_in_School_aged_Children_
European School Survey Project on Alcohol and Other Drugs - ESPAD (latest results published are from 2007; results from the 2011 survey are expected to be published soon):
http://www.api.or.at/akis/download/espad%202007band1.pdf
Österreichischer Frauengesundheitsbericht 2010/11: 
http://bmg.gv.at/cms/home/attachments/0/1/3/CH1004/CMS1299496168458/frauengesundheitsbericht.pdf
national health survey (Österreichische Gesundheitsbefragung) 2006/07:
http://www.bmg.gv.at/cms/home/attachments/1/1/8/CH1066/CMS1187768952223/oesterr_gesundheitsbefragung_2006_20071.pdf
WHO-Survey/Health behaviour in school aged children 2010:
http://bmg.gv.at/cms/home/attachments/0/2/3/CH1105/CMS1327919019042/hbsc_schuelerbericht2010_barrierefrei1.pdf","Answer/report not provided"
"8","Azerbaijan","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"9","Bahamas","Bahamas STEPS Survey 2012 Global Youth Tobacco Survey 2013","Secondary Schools Drug Prevalence Survey 2002 (Ministry of Health) 2008 (Ministry of National Security)","Answer/report not provided"
"10","Bahrain (Kingdom of)","Non communicable diseases and risk factors survey (2007) Global Health Professions Student Survey (GHPSS) 2009 Global Youth Tobacco Survey (GTYS) 2003.","GYTS2003 STEPWISE SURVIELLANCE 2007 GHPSS 2009","Answer/report not provided"
"11","Bangladesh","Global Adult Tobacco Survey 2009 and NCD Risk Factor Survey 2010","For adults:
Global Adult Tobacco Survey (GATS) 2009 and Non Communicable Disease Risk Factor Survey 2010
For young people:
GYTS and GSPS in 2007","Answer/report not provided"
"12","Barbados","Barbados Behavioural Risk Factor Survey 2007; Global Youth Tobacco Survey 2007 and Global School Health Survey 2012","Behavioural Risk Factor Survey 2007","Answer/report not provided"
"13","Belarus","Sociological studies of the Institute of Sociology of NAS of Belarus - 2006 2008 2010 2012. The annual sample survey of households in terms of life research work","Sociological Research of the Institute of Sociology of NAS of Belarus - 2006 2008 2010gg. The annual sample survey of household living standards research and development","Answer/report not provided"
"14","Belgium","Enquête de santé par interview 1997 2001 2004 2008. Une enquête 2013 est actuellement en cours. Les résultats seront publié en 2014.","Health Interview Surveys 1997 2001 2004 2008","Answer/report not provided"
"15","Belize","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"16","Benin","Prévalence du tabagisme chez les étudiants de lUniversité dAbomey-Calavi en 2011
Prévalence du tabagisme chez les étudiants de lUniversité de Parakou en 2011
Facteurs associés au tabagisme dans larrondissement de Tchatchou au Bénin en 2012","Enquête STEPS en 2008
Enquête GSHS en 2009","Answer/report not provided"
"17","Bhutan","ITC Bhutan Survey 2009-10.
GYTS 2009 & 2013 and GSPS 2009.
WHO NCD STEPS Survey Bhutan 2007","ITC Bhutan Survey 2009-10. Report available at http://www.itcproject.org/documents/keyfindings/itcbhutanreportapr27v20webpdf","Answer/report not provided"
"18","Bolivia","Answer/report not provided","GYTS 2000 – 2003 Consumo De Drogas En Bolivia (CELIN) 2010 Encuesta Nacional de Demografía y Salud 2008.","Answer/report not provided"
"19","Bosnia and Herzegovina","GHPS 2005 2006 ( collaboration WHO CDC CPHA) ESPAD 2008 2011 ( collaboration UNICEF MCCDA) GYTS 2003 2008 2013 ( collaboration WHO CDC CPHA) MICS 2012 ( collaboration UNICEF) Survey of Health status of the adult population 2012 ( collaboration WB) .
Surveys performed in the Republic of Srpska: ESPAD (The European School Survey Project on Alcoohol and other Drugs) 2008 22011 Global Youth Tobacco Survey GYTS 2003 2008; Population Halth Status Report of the Republic of Srpska Public Health Institute of the Republic of Srpska 2010.","Surveys performed in the Bosnia and Herzegovina : Non communicable risk factor survey in adults 2003 Global Health Professional Survey GHPS 2005 2006 ESPAD 2008 Global Youth Tobacco Survey GYTS 2003 2008","Answer/report not provided"
"20","Botswana","Answer/report not provided","Only GYTS was conducted in 2001 and 2008","Answer/report not provided"
