"","Party","2014 ","2012 ","2010 "
"1","Afghanistan","No","No","Answer/report not provided"
"2","Albania","Yes","No","Answer/report not provided"
"3","Algeria","No","No","Answer/report not provided"
"4","Antigua and Barbuda","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"5","Armenia","Yes","Yes","Yes"
"6","Australia","Yes","Yes","Answer/report not provided"
"7","Austria","No","No","Answer/report not provided"
"8","Azerbaijan","No","Answer/report not provided","Answer/report not provided"
"9","Bahamas","No","Yes","Answer/report not provided"
"10","Bahrain (Kingdom of)","No","No","Answer/report not provided"
"11","Bangladesh","No","No","No"
"12","Barbados","No","Answer/report not provided","Answer/report not provided"
"13","Belarus","Yes","No","No"
"14","Belgium","No","No","No"
"15","Belize","No","Answer/report not provided","Answer/report not provided"
"16","Benin","No","No","No"
"17","Bhutan","No","Answer/report not provided","Answer/report not provided"
"18","Bolivia","Answer/report not provided","No","Answer/report not provided"
"19","Bosnia and Herzegovina","No","No","Answer/report not provided"
"20","Botswana","Answer/report not provided","No","Answer/report not provided"
"21","Brazil","No","No","No"
"22","Brunei Darussalam","Yes","Yes","Answer/report not provided"
"23","Bulgaria","No","No","No"
"24","Burkina Faso","No","No","Answer/report not provided"
"25","Burundi","Answer/report not provided","Yes","Answer/report not provided"
"26","Cambodia","No","No","Yes"
"27","Cameroon","No","Answer/report not provided","Answer/report not provided"
"28","Canada","No","No","No"
"29","Central African Republic","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"30","Chad","Answer/report not provided","No","Answer/report not provided"
"31","Chile","No","No","Answer/report not provided"
"32","China","No","No","No"
"33","Colombia","No","No","Answer/report not provided"
"34","Comoros","Answer/report not provided","Answer/report not provided","No"
"35","Congo","No","No","Answer/report not provided"
"36","Cook Islands","Yes","No","Yes"
"37","Costa Rica","No","No","Answer/report not provided"
"38","Côte d'Ivoire","No","No","Answer/report not provided"
"39","Croatia","No","Answer/report not provided","Answer/report not provided"
"40","Cyprus","No","Yes","Yes"
"41","Czech Republic","No","Answer/report not provided","Answer/report not provided"
"42","Democratic People's Republic of Korea","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"43","Democratic Republic of the Congo","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"44","Denmark","No","No","No"
"45","Djibouti","Answer/report not provided","No","Answer/report not provided"
"46","Ecuador","No","No","Answer/report not provided"
"47","Egypt","No","No","Answer/report not provided"
"48","El Salvador","No","Answer/report not provided","Answer/report not provided"
"49","Estonia","No","No","Answer/report not provided"
"50","European Union","No","No","Answer/report not provided"
"51","Fiji","No","No","Answer/report not provided"
"52","Finland","No","Answer/report not provided","No"
"53","France","No","No","Answer/report not provided"
"54","Gabon","No","No","Answer/report not provided"
"55","Gambia","No","Yes","Answer/report not provided"
"56","Georgia","Yes","Yes","Answer/report not provided"
"57","Germany","No","No","Answer/report not provided"
"58","Ghana","No","Answer/report not provided","No"
"59","Greece","No","No","Answer/report not provided"
"60","Grenada","No","Answer/report not provided","Answer/report not provided"
"61","Guatemala","Answer/report not provided","No","Answer/report not provided"
"62","Guyana","Answer/report not provided","No","Answer/report not provided"
"63","Honduras","No","Yes","Yes"
"64","Hungary","No","No","No"
"65","Iceland","Yes","Yes","Answer/report not provided"
"66","India","Yes","No","No"
"67","Iran (Islamic Republic of)","No","Answer/report not provided","Answer/report not provided"
"68","Iraq","Yes","Answer/report not provided","Answer/report not provided"
"69","Ireland","No","No","No"
"70","Israel","Answer/report not provided","No","Answer/report not provided"
"71","Italy","No","No","Answer/report not provided"
"72","Jamaica","No","Answer/report not provided","Answer/report not provided"
"73","Japan","Yes","Yes","Yes"
"74","Jordan","Answer/report not provided","No","Answer/report not provided"
"75","Kazakhstan","Yes","Yes","Answer/report not provided"
"76","Kenya","No","Answer/report not provided","No"
"77","Kiribati","No","Answer/report not provided","Answer/report not provided"
"78","Kuwait","Yes","Yes","Yes"
"79","Kyrgyzstan","No","No","Answer/report not provided"
"80","Lao People's Democratic Republic","Answer/report not provided","No","Answer/report not provided"
"81","Latvia","No","Yes","No"
"82","Lebanon","Answer/report not provided","No","Answer/report not provided"
"83","Lesotho","Answer/report not provided","No","No"
"84","Libyan Arab Jamahiriya","No","No","Answer/report not provided"
"85","Lithuania","Answer/report not provided","No","No"
"86","Luxembourg","No","No","No"
"87","Madagascar","No","No","No"
"88","Malaysia","No","No","No"
"89","Maldives","No","Answer/report not provided","Answer/report not provided"
"90","Mali","No","No","Answer/report not provided"
"91","Malta","No","No","No"
"92","Marshall Islands","Yes","Answer/report not provided","Answer/report not provided"
"93","Mauritania","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"94","Mauritius","Yes","Yes","Yes"
"95","Mexico","No","No","Answer/report not provided"
"96","Micronesia (Federated States of)","No","Answer/report not provided","No"
"97","Mongolia","Yes","Yes","No"
"98","Montenegro","No","No","No"
"99","Myanmar","Yes","Answer/report not provided","Answer/report not provided"
"100","Namibia","Answer/report not provided","Yes","Answer/report not provided"
"101","Nauru","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"102","Nepal","Yes","Yes","Answer/report not provided"
"103","Netherlands","No","No","No"
"104","New Zealand","No","No","No"
"105","Niger","Answer/report not provided","No","Answer/report not provided"
"106","Nigeria","No","Answer/report not provided","Answer/report not provided"
"107","Niue","No","Answer/report not provided","Yes"
"108","Norway","No","No","No"
"109","Oman","No","Yes","Yes"
"110","Pakistan","No","No","Answer/report not provided"
"111","Palau","Yes","No","Answer/report not provided"
"112","Panama","No","No","No"
"113","Papua New Guinea","No","Answer/report not provided","Answer/report not provided"
"114","Paraguay","No","No","Answer/report not provided"
"115","Peru","No","Answer/report not provided","Answer/report not provided"
"116","Philippines","No","No","Answer/report not provided"
"117","Poland","No","No","Answer/report not provided"
"118","Portugal","No","No","No"
"119","Qatar","Answer/report not provided","No","No"
"120","Republic of Korea","No","Answer/report not provided","No"
"121","Republic of Moldova","No","No","Answer/report not provided"
"122","Romania","No","Answer/report not provided","Answer/report not provided"
"123","Russian Federation","No","No","Answer/report not provided"
"124","Rwanda","Answer/report not provided","No","Answer/report not provided"
"125","Saint Kitts and Nevis","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"126","Saint Lucia","Answer/report not provided","No","Answer/report not provided"
"127","Saint Vincent and the Grenadines","Answer/report not provided","No","Answer/report not provided"
"128","Samoa","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"129","San Marino","No","No","Answer/report not provided"
"130","Sao Tome and Principe","No","No","Answer/report not provided"
"131","Saudi Arabia","No","Yes","Answer/report not provided"
"132","Senegal","No","No","Answer/report not provided"
"133","Serbia","No","No","Answer/report not provided"
"134","Seychelles","No","No","Answer/report not provided"
"135","Sierra Leone","No","No","Answer/report not provided"
"136","Singapore","Yes","Yes","Yes"
"137","Slovakia","No","No","No"
"138","Slovenia","No","No","Yes"
"139","Solomon Islands","Yes","No","No"
"140","South Africa","Yes","Yes","Yes"
"141","Spain","No","No","No"
"142","Sri Lanka","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"143","Sudan","Answer/report not provided","No","Answer/report not provided"
"144","Suriname","Yes","Yes","Answer/report not provided"
"145","Swaziland","Answer/report not provided","Yes","Answer/report not provided"
"146","Sweden","No","No","No"
"147","Syrian Arab Republic","Answer/report not provided","Answer/report not provided","No"
"148","Tajikistan","Yes","Answer/report not provided","Answer/report not provided"
"149","Thailand","No","No","No"
"150","The former Yugoslav Republic of Macedonia","No","Answer/report not provided","Answer/report not provided"
"151","Timor-Leste","Answer/report not provided","Answer/report not provided","Answer/report not provided"
"152","Togo","No","No","Answer/report not provided"
"153","Tonga","Yes","Yes","Yes"
"154","Trinidad and Tobago","No","No","Yes"
"155","Tunisia","No","No","Answer/report not provided"
"156","Turkey","No","No","No"
"157","Turkmenistan","Yes","Answer/report not provided","Answer/report not provided"
"158","Tuvalu","No","Answer/report not provided","Answer/report not provided"
"159","Uganda","No","Yes","Answer/report not provided"
"160","Ukraine","Yes","No","No"
"161","United Arab Emirates","No","No","Answer/report not provided"
"162","United Kingdom","No","No","No"
"163","United Republic of Tanzania","No","Answer/report not provided","Answer/report not provided"
"164","Uruguay","No","Answer/report not provided","Answer/report not provided"
"165","Uzbekistan","Yes","Answer/report not provided","Answer/report not provided"
"166","Vanuatu","No","Answer/report not provided","Answer/report not provided"
"167","Venezuela","No","Yes","Answer/report not provided"
"168","Viet Nam","No","No","No"
"169","Yemen","Yes","Answer/report not provided","Answer/report not provided"
